City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,novodvinsk,64.4165,40.8122,2.86,78,100,2.54,RU,1731274741
112,joniskis,56.2403,23.6153,2.16,87,100,2.74,LT,1731274742
113,zhigalovo,54.8097,105.1578,-9.23,83,23,1.25,RU,1731274743
114,ixtapa,20.7,-105.2,29.57,62,20,4.63,MX,1731274744
115,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1731274746
116,alofi,-19.0595,-169.9187,23.94,94,75,7.2,NU,1731274747
117,chonchi,-42.6128,-73.8092,12.29,84,27,3.66,CL,1731274748
118,kingston,17.997,-76.7936,29.53,79,20,6.17,JM,1731274559
119,banfora,10.6333,-4.7667,25.42,34,8,1.79,BF,1731274750
120,alvaraes,-3.2208,-64.8042,23.93,93,98,1.66,BR,1731274752
121,lihue,21.9789,-159.3672,26.77,81,100,6.17,US,1731274753
122,port macquarie,-31.4333,152.9167,22.26,79,100,2.24,AU,1731274511
123,port alfred,-33.5906,26.891,17.67,76,100,2.38,ZA,1731274756
124,fale old settlement,-9.3852,-171.2468,28.26,74,89,5.82,TK,1731274758
125,udachny,66.4167,112.4,-15.73,95,92,2.15,RU,1731274759
126,yokadouma,3.5167,15.05,20.15,99,49,0.89,CM,1731274760
127,shizilu,35.1711,118.8289,14.24,85,93,0.45,CN,1731274761
128,san vicente de canete,-13.0751,-76.3835,19.23,79,63,2.58,PE,1731274762
129,khabary,53.6259,79.5345,0.21,97,100,8.39,RU,1731274764
130,yaren,-0.5472,166.916,28.12,71,97,5.33,NR,1731274765
131,hasaki,35.7333,140.8333,17.84,94,100,4.42,JP,1731274766
132,georgetown,5.4112,100.3354,26.96,89,40,1.54,MY,1731274767
133,illizi,26.4833,8.4667,21.21,27,100,3.35,DZ,1731274768
134,tolanaro,-25.0319,46.9987,24.04,83,0,8.23,MG,1731274770
135,port elizabeth,-33.918,25.5701,14.16,95,0,2.06,ZA,1731274771
136,sorong,-0.8833,131.25,26.79,79,92,0.47,ID,1731274772
137,sidi khaled,34.387,4.9879,18.43,55,2,8.85,DZ,1731274773
138,linghai,41.1653,121.3667,4.06,48,72,0.97,CN,1731274774
139,arta,39.1606,20.9853,14.27,63,100,2.59,GR,1731274776
140,mariestad,58.7097,13.8237,6.23,77,100,1.75,SE,1731274777
141,lompoc,34.6391,-120.4579,20.63,42,0,5.66,US,1731274778
142,kailua-kona,19.6406,-155.9956,28.49,72,20,4.12,US,1731274779
143,tindouf,27.6711,-8.1474,24.61,19,3,3.07,DZ,1731274780
144,alice springs,-23.7,133.8833,18.75,88,99,5.14,AU,1731274782
145,bamboo flat,11.7,92.7167,28.05,83,40,1.03,IN,1731274783
146,cole harbour,44.6724,-63.4751,6.77,52,3,1.79,CA,1731274784
147,petauke,-14.2426,31.3253,25.66,42,85,1.66,ZM,1731274786
148,hotan,37.0997,79.9269,8.44,42,42,0.42,CN,1731274788
149,peniche,39.3558,-9.3811,19.0,93,72,6.91,PT,1731274789
150,ishinomaki,38.4167,141.3,11.17,80,100,4.02,JP,1731274790
151,guanica,17.9716,-66.908,26.59,70,100,6.58,PR,1731274791
152,yamada,39.4667,141.95,10.38,68,100,1.79,JP,1731274792
153,le port,-20.9373,55.2919,24.98,91,16,2.62,RE,1731274794
154,menongue,-14.6585,17.691,19.23,82,68,2.19,AO,1731274795
155,utrik,11.2278,169.8474,28.39,77,1,9.26,MH,1731274796
156,sirjan,29.452,55.6814,14.02,31,100,1.13,IR,1731274797
157,kronenwetter,44.8222,-89.5904,9.08,92,100,4.63,US,1731274798
158,sinjai,-5.1241,120.253,25.06,81,76,1.87,ID,1731274800
159,punta arenas,-53.15,-70.9167,12.06,35,40,13.38,CL,1731274801
160,arkhangel'sk,64.5401,40.5433,3.06,100,75,3.0,RU,1731274802
161,rongelap,11.1635,166.8941,28.17,79,50,9.29,MH,1731274803
162,road town,18.4167,-64.6167,28.02,83,40,5.66,VG,1731274804
163,st. john's,47.5649,-52.7093,2.66,60,20,10.8,CA,1731274806
164,mirny,62.5353,113.9611,-15.67,97,100,2.41,RU,1731274807
165,eraan,9.0629,117.7016,26.0,90,100,1.09,PH,1731274808
166,dunedin,-45.8742,170.5036,12.11,57,55,4.02,NZ,1731274809
167,iskateley,67.6803,53.1512,-8.26,94,18,3.16,RU,1731274810
168,invercargill,-46.4,168.35,11.68,62,71,6.26,NZ,1731274812
169,lebu,-37.6167,-73.65,13.39,73,9,4.53,CL,1731274813
170,pathein,16.7833,94.7333,21.88,95,41,2.53,MM,1731274814
171,tazovsky,67.4667,78.7,-11.84,93,100,7.72,RU,1731274815
172,hermanus,-34.4187,19.2345,13.22,82,83,4.12,ZA,1731274816
173,avarua,-21.2078,-159.775,25.03,65,75,5.66,CK,1731274723
174,alvorada,-12.48,-49.1247,25.75,68,45,0.68,BR,1731274820
175,chiang kham,19.5233,100.3,19.84,93,1,0.56,TH,1731274821
176,juan griego,11.0817,-63.9655,33.07,62,62,5.66,VE,1731274822
177,greenville,35.6127,-77.3663,20.97,74,40,1.54,US,1731274824
178,kupino,54.3663,77.2981,-4.18,89,100,5.06,RU,1731274825
179,belmonte,-15.8631,-38.8828,23.42,93,100,3.5,BR,1731274826
180,banda aceh,5.5577,95.3222,26.42,76,100,1.35,ID,1731274827
181,ulsteinvik,62.3432,5.8487,7.5,71,99,3.36,NO,1731274828
182,la passe,45.5549,-0.8967,15.08,76,100,3.42,FR,1731274830
183,oruro,-17.9833,-67.15,18.58,18,100,6.19,BO,1731274831
184,kourou,5.1552,-52.6478,26.49,83,81,3.34,GF,1731274832
185,murray bridge,-35.1167,139.2667,17.69,58,81,1.18,AU,1731274833
186,la'ie,21.6477,-157.9253,26.73,73,18,3.58,US,1731274834
187,callao,-12.0667,-77.15,21.16,64,0,9.26,PE,1731274836
188,priozersk,61.0393,30.1291,0.05,85,61,1.92,RU,1731274837
189,erenhot,43.6475,111.9767,5.37,61,100,6.84,CN,1731274838
190,hovd,48.0056,91.6419,-4.02,45,33,3.87,MN,1731274839
191,queenstown,-31.8976,26.8753,12.71,92,100,1.92,ZA,1731274840
192,vorgashor,67.5833,63.95,-16.4,99,82,3.62,RU,1731274842
193,bardai,11.65,7.2333,20.98,29,45,3.59,NG,1731274843
194,bogra,24.85,89.3667,21.09,80,0,2.17,BD,1731274844
